,Image Name,Compression Config,Chromiance Downsample Factor,Block Size,Norm N,Luma Quantization Max,Luma Quantization Min,Chroma Quantization Max,Chroma Quantization Min,Encoded Image Data Size,Huffman Table Size (kB),Header Info Size (kB),Compression Ratio,Compression Preprocessing Time (mS),Image Compression Time (mS),Entropy Encoding Time (mS),File Encoding Time (mS),Decompression Preprocessing Time (mS),Decompression Entropy Decoding Time (mS),Decompression Block Processing time (mS),Uncompressed Reference Index,Uncompressed Reference Label,Reference Probability,Compressed Probability of Reference Label,Confidence Drift
95,subject_puppy.png,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,178.39,31.885,33.177,0.042,98,625,1199,39,7,2738,735,207,golden retriever,0.94,0.95,0.013
96,subject_racecar.tif,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,434.8,42.647,43.939,0.022,29,2419,4917,93,10,8754,3004,573,go-kart,0.83,0.75,0.099
97,subject_radio.webp,L2_quantization_high_quality.yaml,2,8,2.0,15,5,20,10,371.734,43.072,44.364,0.102,115,450,1074,77,10,4051,553,754,radio,0.97,0.96,0.01
98,landscape_crowd.tif,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,153.812,12.787,14.113,0.008,20,2388,4703,41,4,5142,2987,981,ballplayer,0.16,0.1,0.407
99,landscape_el_capitain_with_night_sky.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,35.935,4.234,5.561,0.007,128,653,1195,9,2,1288,752,972,cliff,0.45,0.31,0.314
100,landscape_hill.png,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,219.94,13.426,14.752,0.017,226,1470,3061,47,3,4791,1854,984,rapeseed,0.25,0.24,0.019
101,landscape_iceberg.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,17.095,6.866,8.19,0.026,27,167,272,7,1,339,129,296,ice bear,0.17,0.07,0.575
102,subject_Brooklyn_bridge.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,76.98,13.719,15.044,0.029,89,376,723,18,4,1259,433,718,pier,0.88,0.86,0.017
103,subject_bunny.tif,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,504.82,11.679,13.005,0.023,23,2466,5034,106,5,8496,2951,330,wood rabbit,0.51,0.46,0.101
104,subject_cat.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,16.274,8.059,9.383,0.023,32,190,252,6,2,385,152,281,tabby,0.75,0.66,0.117
105,subject_flowers.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,35.712,9.468,10.793,0.013,83,423,782,10,2,1017,487,883,vase,0.45,0.49,0.1
106,subject_greenroom.tif,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,388.423,14.894,16.22,0.018,23,2459,4939,86,4,8162,3037,526,desk,0.67,0.74,0.1
107,subject_jellyfish.png,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,21.568,10.229,11.556,0.008,76,511,935,8,3,957,589,107,jellyfish,1.0,1.0,0.0
108,subject_partial_dog.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,9.084,5.061,6.385,0.014,28,188,239,4,1,273,153,253,basenji,0.17,0.13,0.264
109,subject_puppy.png,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,54.72,12.088,13.414,0.013,83,580,1135,14,4,1549,703,207,golden retriever,0.94,0.97,0.024
110,subject_racecar.tif,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,172.15,14.227,15.553,0.009,23,2443,4862,39,3,6004,3170,573,go-kart,0.83,0.78,0.055
111,subject_radio.webp,L2_quantization_moderate.yaml,2,8,2.0,50,20,60,30,160.168,18.18,19.506,0.044,122,470,978,35,5,2400,557,754,radio,0.97,0.92,0.055
112,landscape_crowd.tif,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,79.443,4.455,5.869,0.004,28,2457,4738,20,2,4393,3005,981,ballplayer,0.16,0.03,0.787
113,landscape_el_capitain_with_night_sky.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,14.94,1.169,2.583,0.003,110,626,1211,5,1,1055,769,972,cliff,0.45,0.1,0.775
114,landscape_hill.png,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,51.187,4.305,5.719,0.004,233,1544,2989,14,1,2720,1938,984,rapeseed,0.25,0.08,0.693
115,landscape_iceberg.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,5.11,2.175,3.587,0.009,29,172,224,2,0,206,133,296,ice bear,0.17,0.0,0.986
116,subject_Brooklyn_bridge.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,25.373,5.342,6.755,0.01,103,420,732,6,1,833,438,718,pier,0.88,0.71,0.188
117,subject_bunny.tif,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,156.511,4.606,6.021,0.007,27,2417,4922,39,2,5238,3037,330,wood rabbit,0.51,0.61,0.197
118,subject_cat.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,5.145,2.994,4.406,0.009,39,207,260,3,2,280,164,281,tabby,0.75,0.42,0.441
119,subject_flowers.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,14.556,3.076,4.489,0.005,87,430,851,4,2,708,486,883,vase,0.45,0.38,0.152
120,subject_greenroom.tif,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,103.28,5.373,6.787,0.005,24,2431,4849,23,2,4584,2972,526,desk,0.67,0.81,0.203
121,subject_jellyfish.png,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,11.992,3.5,4.914,0.004,72,529,935,4,2,785,567,107,jellyfish,1.0,1.0,0.0
122,subject_partial_dog.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,4.109,1.559,2.971,0.007,26,186,232,3,1,212,149,253,basenji,0.17,0.01,0.946
123,subject_puppy.png,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,18.602,4.781,6.195,0.005,81,571,1078,6,1,975,687,207,golden retriever,0.94,0.95,0.008
124,subject_racecar.tif,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,85.392,5.062,6.477,0.004,24,2387,4729,47,2,4308,3028,573,go-kart,0.83,0.87,0.044
125,subject_radio.webp,L2_quantization_most_agressive.yaml,2,8,2.0,150,60,200,80,58.662,7.7,9.114,0.017,112,464,889,14,2,1329,540,754,radio,0.97,0.79,0.187
126,landscape_crowd.tif,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,1760.039,134.176,135.373,0.086,26,2388,5783,379,33,23104,2979,981,ballplayer,0.16,0.14,0.126
127,landscape_el_capitain_with_night_sky.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,554.889,53.889,55.086,0.108,117,612,1508,116,12,5983,813,972,cliff,0.45,0.45,0.006
128,landscape_hill.png,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,2932.185,102.362,103.56,0.218,233,1522,4534,604,30,31081,1918,984,rapeseed,0.25,0.22,0.094
129,landscape_iceberg.webp,L2_quantization_no_quant.yaml,2,8,2.0,1,1,1,1,177.691,63.242,64.438,0.253,30,154,332,39,12,1932,133,296,ice bear,0.17,0.18,0.048
